City,Lat,Lon,Max Temp,Humidity,Wind Speed,Country,Date,Clouds
provideniya,64.38,-173.3,6.8,65,2.8,RU,1582766441,43
port augusta,-32.5,137.77,66.99,55,14.99,AU,1582766441,90
sabancuy,18.97,-91.18,74.7,88,15.01,MX,1582766441,8
jumla,29.27,82.18,23.67,51,7.14,NP,1582766441,0
vilhena,-12.74,-60.15,73.02,91,1.9,BR,1582766442,74
verkhnevilyuysk,63.45,120.32,-5.31,97,3.53,RU,1582766442,87
yatou,37.15,122.38,38.01,58,16.17,CN,1582766442,40
raudeberg,61.99,5.14,35.6,55,19.46,NO,1582766443,98
chuy,-33.7,-53.46,61.63,67,7.45,UY,1582766444,18
santa fe,-31.63,-60.7,75.0,53,6.26,AR,1582766444,0
airai,-8.93,125.41,76.62,69,2.91,TL,1582766444,85
bluff,-46.6,168.33,63.0,67,21.99,NZ,1582766447,100
mataura,-46.19,168.86,63.0,67,21.99,NZ,1582766447,94
porto santo,33.07,-16.34,60.8,77,9.17,PT,1582766448,40
mitsamiouli,-11.38,43.28,82.92,78,8.79,KM,1582766448,74
anchorage,61.22,-149.9,28.99,45,5.82,US,1582766261,1
saldanha,-33.01,17.94,60.8,82,6.93,ZA,1582766449,17
atuona,-9.8,-139.03,81.46,79,13.13,PF,1582766449,29
geraldton,-28.77,114.6,73.4,83,28.86,AU,1582766450,40
lagoa,39.05,-27.98,61.97,88,18.37,PT,1582766450,0
port elizabeth,-33.92,25.57,68.0,88,14.99,ZA,1582766450,90
abu kamal,34.45,40.92,51.93,41,5.88,SY,1582766450,0
ponta delgada,37.73,-25.67,62.6,67,8.05,PT,1582766450,75
ponta do sol,32.67,-17.1,61.0,72,14.99,PT,1582766450,75
haines junction,60.75,-137.51,18.63,93,4.21,CA,1582766451,100
vestmannaeyjar,63.44,-20.27,35.51,54,18.25,IS,1582766451,100
mareeba,-17.0,145.43,91.99,74,10.29,AU,1582766451,40
azacualpa,15.34,-88.55,82.4,83,1.83,HN,1582766451,40
soyo,-6.13,12.37,79.3,84,3.09,AO,1582766451,100
nalut,30.33,10.85,55.51,27,6.69,LY,1582766452,2
bandarbeyla,9.49,50.81,77.31,75,12.73,SO,1582766452,100
carnarvon,-24.87,113.63,78.8,88,16.11,AU,1582766452,90
chapais,49.78,-74.85,14.0,66,9.17,CA,1582766452,90
harper,4.38,-7.72,79.07,91,4.18,LR,1582766452,2
cabo san lucas,22.89,-109.91,73.99,46,5.82,MX,1582766424,5
komsomolskiy,40.43,71.72,46.4,100,4.7,UZ,1582766453,40
mehamn,71.04,27.85,18.07,91,9.17,NO,1582766453,99
camocim,-2.9,-40.84,75.69,97,2.57,BR,1582766453,83
bulgan,48.81,103.53,-0.78,82,4.7,MN,1582766453,0
escanaba,45.75,-87.06,21.99,67,11.41,US,1582766420,90
krasnoselkup,65.7,82.47,12.65,85,20.58,RU,1582766454,100
ahuimanu,21.44,-157.84,82.0,61,19.46,US,1582766454,40
savelugu,9.62,-0.83,82.69,14,5.55,GH,1582766454,0
lasa,46.62,10.7,32.0,85,4.43,IT,1582766454,75
tommot,58.96,126.29,4.21,97,1.59,RU,1582766454,94
guarapari,-20.67,-40.5,81.0,78,12.75,BR,1582766454,20
barra patuca,15.8,-84.28,80.4,79,19.46,HN,1582766455,0
naze,28.37,129.48,68.0,52,21.92,JP,1582766455,20
bintulu,3.17,113.03,78.8,94,2.24,MY,1582766455,75
jamestown,42.1,-79.24,39.99,93,3.36,US,1582766428,90
vao,-22.67,167.48,79.79,79,12.97,NC,1582766455,1
coihaique,-45.58,-72.07,59.0,72,3.36,CL,1582766455,100
dondo,-19.61,34.74,73.4,94,4.7,MZ,1582766457,40
bethel,41.37,-73.41,46.99,87,11.41,US,1582766249,90
sevierville,35.87,-83.56,41.0,75,10.29,US,1582766457,75
san quintin,30.48,-115.95,67.12,33,5.55,MX,1582766234,0
belyy yar,53.6,91.39,1.4,84,2.19,RU,1582766457,91
nikolskoye,59.7,30.79,28.4,63,6.71,RU,1582766458,96
timra,62.49,17.33,19.0,78,10.29,SE,1582766458,0
ancud,-41.87,-73.82,60.8,77,10.29,CL,1582766458,30
cayenne,4.93,-52.33,71.6,88,4.43,GF,1582766458,68
yichang,30.71,111.28,50.97,77,7.94,CN,1582766458,100
namatanai,-3.67,152.43,84.45,74,5.08,PG,1582766458,9
abha,18.22,42.51,59.0,28,5.82,SA,1582766300,20
guiratinga,-16.35,-53.76,71.94,97,3.09,BR,1582766459,91
alice springs,-23.7,133.88,91.4,18,18.34,AU,1582766177,96
dosso,13.05,3.19,73.81,13,9.82,NE,1582766459,0
altay,47.87,88.12,20.75,62,5.46,CN,1582766459,33
nioro,13.35,-15.75,84.87,14,9.71,GM,1582766460,10
matay,28.42,30.78,56.64,42,5.99,EG,1582766460,0
iquitos,-3.75,-73.25,77.0,94,5.82,PE,1582766460,75
shakawe,-18.37,21.85,67.39,94,5.3,BW,1582766460,100
nosy varika,-20.58,48.53,69.8,85,6.76,MG,1582766461,80
buraydah,26.33,43.98,50.0,81,2.24,SA,1582766461,0
torbay,47.67,-52.73,30.99,94,1.01,CA,1582766461,98
san jose,37.34,-121.89,75.99,28,9.17,US,1582766166,20
new norfolk,-42.78,147.06,62.6,48,24.16,AU,1582766408,75
lake havasu city,34.48,-114.32,68.0,14,10.29,US,1582766462,1
qadian,31.82,75.39,59.0,93,3.15,IN,1582766462,40
taos,36.41,-105.57,34.0,31,4.7,US,1582766190,1
kalmunai,7.42,81.82,80.91,76,13.2,LK,1582766462,14
faanui,-16.48,-151.75,82.63,66,4.05,PF,1582766462,22
kodiak,57.79,-152.41,35.6,74,12.75,US,1582766463,1
lere,10.39,8.57,65.44,24,3.56,NG,1582766463,2
pokhara,28.23,83.98,48.9,87,2.35,NP,1582766463,0
aonla,28.28,79.15,56.23,74,2.44,IN,1582766463,78
maneadero,31.72,-116.57,73.0,30,3.0,MX,1582766463,10
stornoway,58.21,-6.39,34.0,86,10.29,GB,1582766464,99
sao joao da barra,-21.64,-41.05,79.61,87,12.39,BR,1582766464,98
calabozo,8.92,-67.43,88.48,33,4.9,VE,1582766464,81
novyy urengoy,66.08,76.63,15.26,87,24.05,RU,1582766464,100
katsuura,35.13,140.3,51.01,49,20.8,JP,1582766464,20
tartagal,-22.52,-63.8,69.49,65,3.29,AR,1582766464,27
namibe,-15.2,12.15,74.1,79,11.34,AO,1582766465,82
lorengau,-2.02,147.27,85.32,69,3.36,PG,1582766465,9
plon,54.17,10.42,36.0,93,9.17,DE,1582766465,75
ust-maya,60.42,134.53,-9.72,97,0.72,RU,1582766465,38
tadine,-21.55,167.88,80.51,82,10.4,NC,1582766465,9
ilulissat,69.22,-51.1,-7.6,48,3.36,GL,1582766202,47
nemuro,43.32,145.57,23.0,38,8.05,JP,1582766466,0
leningradskiy,69.38,178.42,-14.22,94,3.42,RU,1582766466,32
bitung,1.45,125.18,82.4,78,4.7,ID,1582766467,40
wichian buri,15.66,101.11,72.73,37,7.34,TH,1582766467,88
pompeu,-19.22,-44.94,73.78,91,2.75,BR,1582766467,98
puerto del rosario,28.5,-13.86,64.4,77,16.11,ES,1582766467,20
kapaa,22.08,-159.32,82.4,61,18.34,US,1582766468,20
meulaboh,4.14,96.13,82.02,81,7.72,ID,1582766468,62
orlik,52.52,99.83,-15.21,90,3.29,RU,1582766468,0
luderitz,-26.65,15.16,64.4,88,8.05,NA,1582766468,0
esperance,-33.87,121.9,66.2,72,10.29,AU,1582766468,100
ambilobe,-13.2,49.05,76.44,90,3.11,MG,1582766469,100
hualmay,-11.1,-77.61,73.06,76,7.47,PE,1582766469,49
xining,36.62,101.77,30.94,63,3.36,CN,1582766363,100
kupang,-10.17,123.58,84.2,89,8.05,ID,1582766390,75
ahipara,-35.17,173.17,88.0,62,1.01,NZ,1582766469,44
saquena,-4.67,-73.52,79.59,82,1.48,PE,1582766469,93
cancun,21.17,-86.85,75.2,100,4.7,MX,1582766350,75
dwarka,22.24,68.97,74.71,65,8.9,IN,1582766470,6
hobyo,5.35,48.53,78.1,75,15.55,SO,1582766470,100
ouro preto do oeste,-10.75,-62.22,77.14,87,0.72,BR,1582766281,56
mandi bahauddin,32.58,73.48,57.74,51,3.91,PK,1582766470,100
kanigoro,-8.13,112.22,75.94,88,4.61,ID,1582766471,100
kavaratti,10.57,72.64,81.99,65,4.76,IN,1582766471,100
salalah,17.02,54.09,75.2,69,3.36,OM,1582766471,75
vila velha,-20.33,-40.29,82.4,74,9.17,BR,1582766242,20
ribeira grande,38.52,-28.7,58.51,90,12.44,PT,1582766472,25
san cristobal,7.77,-72.22,84.2,58,2.24,VE,1582766473,40
peruibe,-24.32,-47.0,76.42,81,24.52,BR,1582766473,100
bengkulu,-3.8,102.27,74.93,91,3.47,ID,1582766473,74
makakilo city,21.35,-158.09,82.0,69,9.17,US,1582766473,75
bubaque,11.28,-15.83,79.66,75,8.81,GW,1582766473,0
civitavecchia,42.09,11.8,48.2,39,19.46,IT,1582766474,41
odessa,46.48,30.73,42.8,93,9.84,UA,1582766441,100
tautira,-17.73,-149.15,89.6,62,6.93,PF,1582766189,20
husavik,66.04,-17.34,23.0,67,23.04,IS,1582766474,90
pacific grove,36.62,-121.92,75.0,42,3.36,US,1582766474,1
asau,46.43,26.4,48.0,80,5.82,RO,1582766474,53
beloha,-25.17,45.05,69.31,71,14.58,MG,1582766475,0
okato,-39.2,173.88,73.99,52,5.99,NZ,1582766475,12
bredasdorp,-34.53,20.04,64.4,82,5.82,ZA,1582766475,46
valeni,46.59,28.06,50.13,69,7.38,RO,1582766475,50
port alfred,-33.59,26.89,69.01,90,1.99,ZA,1582766475,90
taybad,34.74,60.78,39.74,83,31.43,IR,1582766476,90
moa,20.66,-74.94,70.79,93,3.0,CU,1582766476,92
padang,-0.95,100.35,70.34,85,5.97,ID,1582766476,68
belmonte,-15.86,-38.88,80.6,78,8.05,BR,1582766476,42
salisbury,51.07,-1.8,42.01,83,4.7,GB,1582766476,100
portland,45.52,-122.68,55.99,54,6.93,US,1582766406,20
zheshart,62.07,49.57,12.02,96,3.87,RU,1582766477,69
leh,34.17,77.58,-2.15,25,3.38,IN,1582766477,68
rawson,-43.3,-65.1,67.96,53,15.3,AR,1582766477,90
flin flon,54.77,-101.86,10.4,66,10.29,CA,1582766477,75
mangai,-4.05,19.53,72.95,95,1.74,CD,1582766478,51
grindavik,63.84,-22.43,28.4,68,27.51,IS,1582766478,90
sao filipe,14.9,-24.5,76.82,52,4.25,CV,1582766478,0
ylojarvi,61.56,23.6,19.0,72,3.36,FI,1582766478,0
bairiki,1.33,172.98,89.6,70,13.87,KI,1582766478,75
mataram,-8.58,116.12,86.0,74,5.82,ID,1582766479,20
kavieng,-2.57,150.8,85.86,69,4.97,PG,1582766479,12
diamantino,-14.41,-56.45,74.98,88,1.23,BR,1582766479,100
qobustan,40.08,49.41,46.4,87,26.4,AZ,1582766479,40
sinjar,36.32,41.88,47.03,81,1.74,IQ,1582766479,0
riyadh,24.69,46.72,55.4,54,3.36,SA,1582766440,0
pahrump,36.21,-115.98,64.0,11,4.7,US,1582766480,1
tanout,14.97,8.89,64.94,14,8.95,NE,1582766480,0
adrar,20.5,-10.07,68.88,11,11.3,MR,1582766480,0
gazanjyk,39.24,55.52,35.13,88,2.62,TM,1582766480,0
port-cartier,50.03,-66.87,16.0,43,9.17,CA,1582766480,5
grand gaube,-20.01,57.66,80.6,88,8.05,MU,1582766481,75
victoria,22.29,114.16,71.01,88,16.11,HK,1582766407,40
troitskoye,52.98,84.68,20.93,81,9.8,RU,1582766481,100
mponela,-13.53,33.74,64.4,100,3.36,MW,1582766481,40
humaita,-7.51,-63.02,79.18,75,2.33,BR,1582766481,64
yerofey pavlovich,53.97,121.97,3.18,88,1.86,RU,1582766482,0
brae,60.4,-1.35,37.4,86,11.41,GB,1582766482,71
saint george,37.1,-113.58,57.2,16,1.23,US,1582766482,1
mahon,39.89,4.27,51.8,71,5.82,ES,1582766482,97
visnes,59.36,5.22,34.0,92,23.04,NO,1582766482,100
sur,22.57,59.53,73.22,56,4.97,OM,1582766483,0
jiayuguan,39.82,98.3,32.27,57,4.32,CN,1582766483,96
kabinda,-6.13,24.48,68.97,95,2.51,CD,1582766483,44
necochea,-38.55,-58.74,57.0,88,1.99,AR,1582766484,78
festus,38.22,-90.4,34.0,69,12.75,US,1582766484,90
dong hoi,17.48,106.6,68.95,96,3.83,VN,1582766202,70
floro,61.6,5.03,35.6,55,19.46,NO,1582766417,86
umm kaddadah,13.6,26.69,64.06,18,13.29,SD,1582766485,0
muros,42.78,-9.06,59.0,100,11.41,ES,1582766485,75
yumen,40.28,97.2,30.51,59,8.68,CN,1582766485,0
kikwit,-5.04,18.82,71.87,96,1.99,CD,1582766485,47
devils lake,48.11,-98.87,10.4,84,11.41,US,1582766485,90
sao jose da coroa grande,-8.9,-35.15,82.87,78,12.46,BR,1582766486,100
florianopolis,-27.61,-48.5,71.6,73,18.34,BR,1582766266,75
erenhot,43.65,111.98,22.39,71,6.29,CN,1582766486,14
kastamonu,41.5,33.67,35.69,68,4.05,TR,1582766486,30
hasaki,35.73,140.83,48.2,45,23.04,JP,1582766487,20
porto walter,-8.27,-72.74,76.95,90,1.48,BR,1582766487,99
upernavik,72.79,-56.15,-18.11,71,1.52,GL,1582766487,91
sungaipenuh,-2.08,101.38,63.45,98,3.09,ID,1582766487,97
vila franca do campo,37.72,-25.43,62.6,67,8.05,PT,1582766487,75
bulungu,-4.55,18.6,72.16,95,3.0,CD,1582766488,95
agboville,5.93,-4.21,77.61,89,1.41,CI,1582766488,0
hambantota,6.12,81.12,73.4,100,5.82,LK,1582766488,85
livingston,55.9,-3.52,36.0,93,13.87,GB,1582766488,40
moshenskoye,58.51,34.59,28.02,98,0.16,RU,1582766489,100
nanortalik,60.14,-45.24,21.96,65,13.11,GL,1582766489,95
isla vista,34.41,-119.86,72.0,19,5.19,US,1582766489,1
jalu,29.03,21.55,65.91,23,6.31,LY,1582766489,100
bosaso,11.28,49.18,75.92,68,3.02,SO,1582766489,61
salta,-24.79,-65.41,69.8,82,6.93,AR,1582766490,57
praia da vitoria,38.73,-27.07,60.8,72,13.06,PT,1582766490,20
trairi,-3.28,-39.27,74.73,95,1.3,BR,1582766490,95
chokurdakh,70.63,147.92,8.11,92,13.69,RU,1582766490,100
laguna,38.42,-121.42,77.0,35,4.7,US,1582766490,1
half moon bay,37.46,-122.43,75.0,32,9.17,US,1582766465,20
arti,56.42,58.53,20.35,92,13.27,RU,1582766491,100
skibbereen,51.55,-9.27,35.6,100,12.75,IE,1582766491,75
santa cruz,-17.8,-63.17,78.8,74,9.17,BO,1582766195,75
gizo,-8.1,156.84,85.32,64,2.84,SB,1582766491,70
yenagoa,4.92,6.26,80.92,79,4.27,NG,1582766491,81
yelizovo,53.19,158.38,28.4,54,4.47,RU,1582766492,94
manggar,-2.88,108.27,82.02,80,14.5,ID,1582766492,100
cidreira,-30.18,-50.21,71.24,63,16.02,BR,1582766492,10
poum,-20.23,164.02,80.92,76,13.42,NC,1582766492,2
dudinka,69.41,86.18,15.8,85,35.79,RU,1582766492,20
meadow lake,34.8,-106.54,44.6,15,5.82,US,1582766492,1
clyde river,70.47,-68.59,-23.8,74,5.82,CA,1582766493,5
praia,14.92,-23.51,78.8,36,13.87,CV,1582766493,0
inta,66.03,60.17,21.33,94,13.76,RU,1582766493,99
jacareacanga,-6.22,-57.75,74.84,95,0.81,BR,1582766493,99
sechura,-5.56,-80.82,76.66,83,16.31,PE,1582766494,0
muroto,33.28,134.15,53.6,37,17.22,JP,1582766494,40
charters towers,-20.1,146.27,86.59,61,6.02,AU,1582766494,100
nobeoka,32.58,131.67,48.72,66,2.75,JP,1582766494,4
russell,32.35,-85.2,48.2,70,11.41,US,1582766494,1
tibagi,-24.51,-50.41,62.29,98,1.21,BR,1582766495,48
umm lajj,25.02,37.27,64.06,27,8.86,SA,1582766495,0
pevek,69.7,170.31,-14.37,92,10.54,RU,1582766495,35
vardo,70.37,31.11,18.54,78,9.06,NO,1582766495,100
sorong,-0.88,131.25,81.57,83,4.16,ID,1582766496,92
santa isabel do rio negro,-0.41,-65.02,79.7,78,0.6,BR,1582766496,44
cordoba,-31.41,-64.18,72.0,87,4.7,AR,1582766497,0
abu dhabi,24.47,54.37,71.01,56,12.75,AE,1582766412,0
zhangjiakou,40.81,114.88,25.57,70,4.9,CN,1582766497,100
la serena,-29.91,-71.25,60.8,87,8.05,CL,1582766497,75
dingle,11.0,122.67,76.53,83,11.86,PH,1582766497,33
libenge,3.65,18.63,75.16,77,2.73,CD,1582766498,26
talnakh,69.49,88.4,15.8,85,35.79,RU,1582766498,20
palm coast,29.59,-81.21,63.0,100,3.36,US,1582766481,90
anadyr,64.75,177.48,0.0,77,8.95,RU,1582766498,75
richards bay,-28.78,32.04,74.5,79,21.12,ZA,1582766498,0
santa lucia,27.91,-15.54,64.4,77,20.8,ES,1582766499,75
eqbaliyeh,35.3,51.54,35.6,69,16.11,IR,1582766499,17
skelleftea,64.75,20.95,12.0,85,6.93,SE,1582766499,0
edd,13.93,41.69,72.82,75,3.71,ER,1582766499,34
denpasar,-8.65,115.22,78.67,73,2.24,ID,1582766272,100
saint-francois,46.42,3.91,39.2,64,4.7,FR,1582766501,43
otjimbingwe,-22.35,16.13,73.06,65,2.82,NA,1582766467,27
lasem,-6.69,111.45,81.14,82,7.92,ID,1582766501,100
bodden town,19.28,-81.25,80.6,78,3.36,KY,1582766321,20
changji,44.02,87.32,26.6,92,2.24,CN,1582766502,90
tha mai,12.62,102.0,84.0,100,3.36,TH,1582766502,20
port hardy,50.7,-127.42,42.8,100,17.22,CA,1582766502,90
shaunavon,49.65,-108.42,26.1,87,6.51,CA,1582766502,82
rio gallegos,-51.62,-69.22,60.8,41,25.28,AR,1582766368,20
fuyu,45.18,124.82,14.85,80,2.82,CN,1582766503,0
mahebourg,-20.41,57.7,80.6,88,8.05,MU,1582766503,75
mogadishu,2.04,45.34,81.5,83,20.94,SO,1582766503,94
narsaq,60.92,-46.05,21.2,44,8.05,GL,1582766504,49
beltangadi,13.98,75.3,66.16,73,3.06,IN,1582766504,98
salzwedel,52.85,11.15,37.99,93,8.05,DE,1582766505,75
kangasala,61.46,24.08,19.0,72,3.36,FI,1582766505,0
khatanga,71.97,102.5,12.63,91,16.62,RU,1582766506,98
sitka,57.05,-135.33,39.2,86,9.17,US,1582766506,90
fortuna,40.6,-124.16,59.0,87,11.41,US,1582766506,1
margate,51.38,1.39,39.99,80,4.7,GB,1582766446,69
nsukka,6.86,7.39,76.3,20,2.08,NG,1582766506,28
kirakira,-10.45,161.92,85.1,65,5.12,SB,1582766506,100
kungurtug,50.6,97.52,-10.86,84,4.21,RU,1582766507,15
fethiye,36.62,29.12,60.8,72,11.41,TR,1582766507,75
norman wells,65.28,-126.83,-5.8,76,3.36,CA,1582766507,75
cochrane,51.18,-114.47,39.2,50,21.92,CA,1582766507,1
bonfim,3.08,-59.95,87.1,36,7.54,BR,1582766507,38
santa clara,22.4,-79.97,73.4,94,2.24,CU,1582766508,90
mossendjo,-2.95,12.73,73.13,99,2.3,CG,1582766508,100
port blair,11.67,92.75,73.4,94,11.88,IN,1582766508,37
north bend,43.41,-124.22,54.0,81,14.99,US,1582766508,1
basoko,1.24,23.62,76.8,62,1.52,CD,1582766508,45
chaltyr,47.28,39.48,41.0,52,8.95,RU,1582766508,100
ostrovnoy,68.05,39.51,7.47,95,6.71,RU,1582766509,0
northam,51.03,-4.22,42.01,100,6.93,GB,1582766509,75
saryozek,44.36,77.98,36.01,73,3.76,KZ,1582766509,100
tubuala,9.52,-79.03,80.01,94,2.24,PA,1582766509,40
glendive,47.11,-104.71,34.0,80,10.29,US,1582766510,90
ambulu,-8.35,113.61,80.85,77,3.67,ID,1582766510,100
hofn,64.25,-15.21,33.94,71,31.03,IS,1582766510,91
maldonado,-34.67,-54.92,59.0,87,5.82,UY,1582766510,13
morondava,-20.28,44.28,74.57,91,3.38,MG,1582766510,6
troy,42.61,-83.15,25.0,85,14.99,US,1582766510,90
touros,-5.2,-35.46,80.6,83,4.7,BR,1582766511,20
majene,-3.54,118.97,77.18,90,4.0,ID,1582766511,100
havre-saint-pierre,50.23,-63.6,14.0,43,12.75,CA,1582766511,1
san remo,43.82,7.76,48.2,15,8.05,IT,1582766511,5
amasya,40.67,35.83,37.4,64,6.78,TR,1582766511,4
vostok,46.49,135.88,11.95,91,2.37,RU,1582766512,100
vargem grande,-3.54,-43.92,74.95,98,2.84,BR,1582766512,94
sambava,-14.27,50.17,73.02,98,2.39,MG,1582766512,99
mayya,61.73,130.28,6.8,84,2.24,RU,1582766512,75
samarai,-10.62,150.67,88.03,59,2.3,PG,1582766512,85
zyryanka,65.75,150.85,-8.03,72,14.54,RU,1582766512,41
saint-louis,16.33,-15.0,82.4,18,2.24,SN,1582766513,0
kaspiysk,42.88,47.64,26.6,86,4.47,RU,1582766513,0
podgornoye,51.73,39.15,37.4,93,4.47,RU,1582766513,90
sept-iles,50.2,-66.38,16.0,43,9.17,CA,1582766513,5
severo-yeniseyskiy,60.37,93.04,-1.84,99,1.74,RU,1582766513,71
luganville,-15.53,167.17,89.6,62,10.29,VU,1582766513,40
fort-shevchenko,44.51,50.26,37.31,78,20.8,KZ,1582766514,5
lompoc,34.64,-120.46,72.0,32,11.41,US,1582766514,1
yulara,-25.24,130.99,93.2,20,18.34,AU,1582766514,60
longyearbyen,78.22,15.64,-7.6,63,4.7,SJ,1582766514,20
gat,31.61,34.76,52.0,87,3.36,IL,1582766514,0
paamiut,61.99,-49.67,0.66,57,7.14,GL,1582766515,1
morros,-9.45,-46.3,76.86,82,3.47,BR,1582766515,44
homer,59.64,-151.55,30.2,68,1.45,US,1582766515,90
kapoeta,4.77,33.59,88.66,38,11.21,SS,1582766515,26
walvis bay,-22.96,14.51,66.0,91,1.99,NA,1582766515,0
galesong,-5.32,119.37,78.8,94,1.12,ID,1582766515,40
verdikoussa,39.78,21.97,51.01,86,1.68,GR,1582766284,1
laranjeiras do sul,-25.41,-52.42,62.04,93,3.36,BR,1582766516,0
weligama,5.97,80.42,73.38,86,4.79,LK,1582766240,75
goderich,43.75,-81.72,26.01,69,5.01,CA,1582766516,100
ilhabela,-23.78,-45.36,74.97,96,32.28,BR,1582766403,94
tynda,55.17,124.72,-1.46,97,1.97,RU,1582766516,28
